0x00000000,0x090,user_memmap
0x00000001,0x0100,user_memmap
0x00000002,0x0000,user_memmap
0x00000003,0x0000,user_memmap
0x00000004,0x0000,user_memmap
0x00000005,0x06,user_memmap
0x00000008,0x00,user_memmap
0x00000009,0x0800100,user_memmap
0x0000000A,0x000100,user_memmap
0x0000000B,0x000100,user_memmap
0x0000000C,0x000100,user_memmap
0x0000000D,0x000100,user_memmap
0x0000000E,0x000100,user_memmap
0x0000000F,0x000100,user_memmap
0x00000010,0x000100,user_memmap
0x00000011,0x000100,user_memmap
0x00000012,0x000100,user_memmap
0x00000013,0x000100,user_memmap
0x00000014,0x000100,user_memmap
0x00000015,0x000100,user_memmap
0x00000016,0x000100,user_memmap
0x00000017,0x000100,user_memmap
0x00000018,0x000100,user_memmap
0x00000019,0x000C,user_memmap
0x0000001A,0x0000,user_memmap
0x0000001B,0x0000,user_memmap
0x0000001C,0x0000,user_memmap
0x0000001D,0x0000,user_memmap
0x0000001E,0x0000,user_memmap
0x0000001F,0x0000,user_memmap
0x00000020,0x0000,user_memmap
0x00000021,0x0020A0,user_memmap
0x00000022,0x002030,user_memmap
0x00000023,0x002030,user_memmap
0x00000024,0x002030,user_memmap
0x00000025,0x002030,user_memmap
0x00000026,0x002030,user_memmap
0x00000027,0x002030,user_memmap
0x00000028,0x002030,user_memmap
0x00000029,0x08000,user_memmap
0x0000002A,0x08000,user_memmap
0x0000002B,0x08000,user_memmap
0x0000002C,0x08000,user_memmap
0x0000002D,0x08000,user_memmap
0x0000002E,0x08000,user_memmap
0x0000002F,0x08000,user_memmap
0x00000030,0x08000,user_memmap
0x00000031,0x55C6,user_memmap
0x00000032,0x55C6,user_memmap
0x00000033,0x55C6,user_memmap
0x00000034,0x55C6,user_memmap
0x00000035,0x55C6,user_memmap
0x00000036,0x55C6,user_memmap
0x00000037,0x55C6,user_memmap
0x00000038,0x55C6,user_memmap
0x00000039,0x0000,user_memmap
